Date,Open,High,Low,Close,Adj Close,Volume
11/6/2017,172.369995,174.990005,171.720001,174.25,173.625839,35026300
11/7/2017,173.910004,175.25,173.600006,174.809998,174.183823,24361500
11/8/2017,174.660004,176.240005,174.330002,176.240005,175.608719,24409500
11/9/2017,175.110001,176.100006,173.139999,175.880005,175.25,29482600
11/10/2017,175.110001,175.380005,174.270004,174.669998,174.669998,25145500
11/13/2017,173.5,174.5,173.399994,173.970001,173.970001,16982100
11/14/2017,173.039993,173.479996,171.179993,171.339996,171.339996,24782500
11/15/2017,169.970001,170.320007,168.380005,169.080002,169.080002,29158100
11/16/2017,171.179993,171.869995,170.300003,171.100006,171.100006,23637500
11/17/2017,171.039993,171.389999,169.639999,170.149994,170.149994,21899500
11/20/2017,170.289993,170.559998,169.559998,169.979996,169.979996,16262400
11/21/2017,170.779999,173.699997,170.779999,173.139999,173.139999,25131300
11/22/2017,173.360001,175,173.050003,174.960007,174.960007,25588900
11/24/2017,175.100006,175.5,174.649994,174.970001,174.970001,14026700
11/27/2017,175.050003,175.080002,173.339996,174.089996,174.089996,20716800
11/28/2017,174.300003,174.869995,171.860001,173.070007,173.070007,26428800
11/29/2017,172.630005,172.919998,167.160004,169.479996,169.479996,41666400
11/30/2017,170.429993,172.139999,168.440002,171.850006,171.850006,41527200
12/1/2017,169.949997,171.669998,168.5,171.050003,171.050003,39759300
12/4/2017,172.479996,172.619995,169.630005,169.800003,169.800003,32542400
12/5/2017,169.059998,171.520004,168.399994,169.639999,169.639999,27350200
12/6/2017,167.5,170.199997,166.460007,169.009995,169.009995,28560000
12/7/2017,169.029999,170.440002,168.910004,169.320007,169.320007,25673300
12/8/2017,170.490005,171,168.820007,169.369995,169.369995,23355200
12/11/2017,169.199997,172.889999,168.789993,172.669998,172.669998,35273800
12/12/2017,172.149994,172.389999,171.460007,171.699997,171.699997,19409200
12/13/2017,172.5,173.539993,172,172.270004,172.270004,23818400
12/14/2017,172.399994,173.130005,171.649994,172.220001,172.220001,20476500
12/15/2017,173.630005,174.169998,172.460007,173.970001,173.970001,40169300
12/18/2017,174.880005,177.199997,174.860001,176.419998,176.419998,29421100
12/19/2017,175.029999,175.389999,174.089996,174.539993,174.539993,27436400
12/20/2017,174.869995,175.419998,173.25,174.350006,174.350006,23475600
12/21/2017,174.169998,176.020004,174.100006,175.009995,175.009995,20949900
12/22/2017,174.679993,175.419998,174.5,175.009995,175.009995,16349400
12/26/2017,170.800003,171.470001,169.679993,170.570007,170.570007,33185500
12/27/2017,170.100006,170.779999,169.710007,170.600006,170.600006,21498200
12/28/2017,171,171.850006,170.479996,171.080002,171.080002,16480200
12/29/2017,170.520004,170.589996,169.220001,169.229996,169.229996,25999900
1/2/2018,170.160004,172.300003,169.259995,172.259995,172.259995,25555900
1/3/2018,172.529999,174.550003,171.960007,172.229996,172.229996,29517900
1/4/2018,172.539993,173.470001,172.080002,173.029999,173.029999,22434600
1/5/2018,173.440002,175.369995,173.050003,175,175,23660000
1/8/2018,174.350006,175.610001,173.929993,174.350006,174.350006,20567800
1/9/2018,174.550003,175.059998,173.410004,174.330002,174.330002,21584000
1/10/2018,173.160004,174.300003,173,174.289993,174.289993,23959900
1/11/2018,174.589996,175.490005,174.490005,175.279999,175.279999,18667700
1/12/2018,176.179993,177.360001,175.649994,177.089996,177.089996,25418100
1/16/2018,177.899994,179.389999,176.139999,176.190002,176.190002,29565900
1/17/2018,176.149994,179.25,175.070007,179.100006,179.100006,34386800
1/18/2018,179.369995,180.100006,178.25,179.259995,179.259995,31193400
1/19/2018,178.610001,179.580002,177.410004,178.460007,178.460007,32425100
1/22/2018,177.300003,177.779999,176.600006,177,177,27108600
1/23/2018,177.300003,179.440002,176.820007,177.039993,177.039993,32689100
1/24/2018,177.25,177.300003,173.199997,174.220001,174.220001,51105100
1/25/2018,174.509995,174.949997,170.529999,171.110001,171.110001,41529000
1/26/2018,172,172,170.059998,171.509995,171.509995,39143000
1/29/2018,170.160004,170.160004,167.070007,167.960007,167.960007,50640400
1/30/2018,165.529999,167.369995,164.699997,166.970001,166.970001,46048200
1/31/2018,166.869995,168.440002,166.5,167.429993,167.429993,32478900
2/1/2018,167.169998,168.619995,166.759995,167.779999,167.779999,47230800
2/2/2018,166,166.800003,160.100006,160.5,160.5,85855700
