"","Var1","Freq"
"1","alabama",3
"2","arizona",11
"3","arkansas",3
"4","california",47
"5","colorado",7
"6","connecticut",7
"7","district of columbia",4
"8","florida",19
"9","georgia",14
"10","idaho",1
"11","illinois",15
"12","indiana",2
"13","iowa",2
"14","kansas",31
"15","kentucky",2
"16","louisiana",1
"17","maryland",12
"18","massachusetts",10
"19","michigan",9
"20","minnesota",9
"21","missouri",6
"22","montana",2
"23","nebraska",3
"24","nevada",5
"25","new hampshire",2
"26","new jersey",8
"27","new mexico",3
"28","new york",27
"29","north carolina",12
"30","ohio",19
"31","oklahoma",7
"32","oregon",6
"33","pennsylvania",13
"34","south carolina",9
"35","tennessee",4
"36","texas",34
"37","utah",7
"38","vermont",2
"39","virginia",12
"40","washington",5
"41","west virginia",1
"42","wisconsin",4
"43","wyoming",1
